iter	Passed	Remaining
209	280	1054
210	281	1050
211	281	1047
212	282	1043
213	283	1039
214	283	1036
215	284	1033
216	285	1029
217	286	1026
218	286	1022
219	287	1019
220	288	1016
221	289	1012
222	289	1009
223	290	1006
224	291	1003
225	291	999
226	292	996
227	293	993
228	293	989
229	294	986
230	295	983
231	296	979
232	296	976
233	297	973
234	298	970
235	298	966
236	299	963
237	300	960
238	300	958
239	301	954
240	302	952
241	302	948
242	303	945
243	304	942
244	304	939
245	305	936
246	306	933
247	306	930
248	307	927
249	308	924
250	308	922
251	309	919
252	310	916
253	311	913
254	311	910
255	312	907
256	313	905
257	313	902
258	314	899
259	315	897
260	315	894
261	316	891
262	317	888
263	317	886
264	318	883
265	319	880
266	319	878
267	320	875
268	321	873
269	321	870
270	322	867
271	323	865
272	323	862
273	324	860
274	325	857
275	325	855
276	326	852
277	327	849
278	327	847
279	328	844
280	329	842
281	330	840
282	330	838
283	331	836
284	332	834
285	333	832
286	333	829
287	334	827
288	335	824
289	335	822
290	336	820
291	337	817
292	337	815
293	338	812
294	339	810
295	339	808
296	340	805
297	341	803
298	341	801
299	342	799
300	343	797
301	343	794
302	344	792
303	345	790
304	345	788
305	346	786
306	347	783
307	347	781
308	348	779
309	349	777
310	349	775
311	350	773
312	351	770
313	351	768
314	352	766
315	353	764
316	353	762
317	354	760
318	355	758
319	355	756
320	356	753
321	357	751
322	357	749
323	358	748
324	359	746
325	360	744
326	360	742
327	361	740
328	362	738
329	362	736
330	363	734
331	364	732
332	364	730
333	365	728
334	366	726
335	366	724
336	367	722
337	368	720
338	368	718
339	369	717
340	370	715
341	370	713
342	371	711
343	372	709
344	372	707
345	373	705
346	374	703
347	374	701
348	375	699
349	375	698
350	376	696
351	377	694
352	377	692
353	378	690
354	379	688
355	379	686
356	380	685
357	380	683
358	381	681
359	382	679
360	383	679
361	384	677
362	385	675
363	385	674
364	386	672
365	387	671
366	388	669
367	388	667
368	389	666
369	390	664
370	391	663
371	391	661
372	392	659
373	393	658
374	393	656
375	394	654
376	395	653
377	395	651
378	396	650
379	397	648
380	398	646
381	398	645
382	399	643
383	400	642
384	400	640
385	401	638
386	402	637
387	403	635
388	403	634
389	404	632
390	405	631
391	405	629
392	406	628
393	407	626
394	408	625
395	408	623
396	409	621
397	410	620
398	410	618
399	411	617
400	412	615
401	412	614
402	413	612
403	414	611
404	415	609
405	415	608
406	416	606
407	417	605
408	417	603
409	418	602
410	419	600
411	420	599
412	420	597
413	421	596
414	422	594
415	422	593
416	423	592
417	424	590
418	424	589
419	425	587
420	426	586
421	426	584
422	427	583
423	428	581
424	428	580
425	429	578
426	430	577
427	430	575
428	431	574
429	432	573
430	433	571
431	433	570
432	434	568
433	434	567
434	435	565
435	436	564
436	436	562
437	437	561
438	438	560
439	439	558
440	439	557
441	440	556
442	441	554
443	441	553
444	442	552
445	443	550
446	444	549
447	444	548
448	445	546
449	446	545
450	447	544
451	447	542
452	448	541
453	449	540
454	449	538
455	450	537
456	451	536
457	451	534
458	452	533
459	453	532
460	453	530
461	454	529
462	455	528
463	456	526
464	456	525
465	457	524
466	458	523
467	459	522
468	460	521
469	461	520
470	462	519
471	462	517
472	463	516
473	464	515
474	465	514
475	465	512
476	466	511
477	467	510
478	468	509
479	468	507
480	469	506
481	470	505
482	470	503
483	471	502
484	472	501
485	473	500
486	473	499
487	474	497
488	475	496
489	475	495
490	476	493
491	477	492
492	477	491
493	478	490
494	479	488
495	479	487
496	480	486
497	481	484
498	481	483
499	482	482
500	483	481
501	483	479
502	484	478
503	485	477
504	485	476
505	486	474
506	486	473
507	487	472
508	488	471
509	489	470
510	490	469
511	490	467
512	491	466
513	492	465
514	493	464
515	493	463
516	494	462
517	495	460
518	495	459
519	496	458
520	497	457
521	497	455
522	498	454
523	499	453
524	499	452
525	500	451
526	501	449
527	501	448
528	502	447
529	503	446
530	503	445
531	504	443
532	505	442
533	505	441
534	506	440
535	507	438
536	507	437
537	508	436
538	509	435
539	509	434
540	510	433
541	511	431
542	511	430
543	512	429
544	513	428
545	513	427
546	514	425
547	515	424
548	515	423
549	516	422
550	517	421
551	517	420
552	518	419
553	519	417
554	519	416
555	520	415
556	520	414
557	521	413
558	522	411
559	522	410
560	523	409
561	524	408
562	525	407
563	525	406
564	526	405
565	527	404
566	528	403
567	528	402
568	529	401
569	530	399
570	530	398
571	531	397
572	532	396
573	532	395
574	533	394
575	534	393
576	535	392
577	535	391
578	536	390
579	537	389
580	538	388
581	538	386
582	539	385
583	540	384
584	540	383
585	541	382
586	542	381
587	542	380
588	543	379
589	544	378
590	545	377
591	545	376
592	546	375
593	547	373
594	547	372
595	548	371
596	549	370
597	549	369
598	550	368
599	551	367
600	551	366
601	552	365
602	553	364
603	553	363
604	554	362
605	555	360
606	555	359
607	556	358
608	557	357
609	557	356
610	558	355
611	559	354
612	560	353
613	560	352
614	561	351
615	562	350
616	563	349
617	564	348
618	564	347
619	565	346
620	566	345
621	566	344
622	567	343
623	568	342
624	569	341
625	570	340
626	570	339
627	571	338
628	572	337
629	573	336
630	574	336
631	575	335
632	576	334
633	576	332
634	577	331
635	578	330
636	578	329
637	579	328
638	580	327
639	580	326
640	581	325
641	582	324
642	582	323
643	583	322
644	584	321
645	584	320
646	585	319
647	586	318
648	586	317
649	587	316
650	587	315
651	588	314
652	589	313
653	589	312
654	590	311
655	591	310
656	591	309
657	592	307
658	593	306
659	593	305
660	594	304
661	595	303
662	595	302
663	596	301
664	596	300
665	597	299
666	598	298
667	598	297
668	599	296
669	600	295
670	601	294
671	601	293
672	602	292
673	603	291
674	603	290
675	604	289
676	605	288
677	605	287
678	606	286
679	607	285
680	607	284
681	608	283
682	609	282
683	609	281
684	610	280
685	611	279
686	611	278
687	612	277
688	613	276
689	613	275
690	614	274
691	615	273
692	615	272
693	616	271
694	617	270
695	618	269
696	618	268
697	619	268
698	620	267
699	620	266
700	621	265
701	622	264
702	622	263
703	623	262
704	624	261
705	624	260
706	625	259
707	626	258
708	626	257
709	627	256
710	628	255
711	629	254
712	629	253
713	630	252
714	631	251
715	631	250
716	632	249
717	633	248
718	633	247
719	634	246
720	635	245
721	635	244
722	636	243
723	637	242
724	637	241
725	638	241
726	639	240
727	639	239
728	640	238
729	641	237
730	642	236
731	642	235
732	643	234
733	644	233
734	644	232
735	645	231
736	646	230
737	646	229
738	647	228
739	648	227
740	648	226
741	649	225
742	650	224
743	650	223
744	651	222
745	652	222
746	652	221
747	653	220
748	654	219
749	654	218
750	655	217
751	656	216
752	656	215
753	657	214
754	658	213
755	658	212
756	660	211
757	660	210
758	661	210
759	662	209
760	663	208
761	663	207
762	664	206
763	665	205
764	666	204
765	666	203
766	667	202
767	668	201
768	668	200
769	669	199
770	670	199
771	671	198
772	671	197
773	672	196
774	673	195
775	674	194
776	675	193
777	676	192
778	677	192
779	677	191
780	678	190
781	679	189
782	680	188
783	681	187
784	682	186
785	682	185
786	683	185
787	684	184
788	685	183
789	686	182
790	687	181
791	688	180
792	688	179
793	689	178
794	690	178
795	691	177
796	692	176
797	692	175
798	693	174
799	694	173
800	694	172
801	695	171
802	696	170
803	697	170
804	698	169
805	699	168
806	699	167
807	700	166
808	701	165
809	702	164
810	702	163
811	703	162
812	704	161
813	704	161
814	705	160
815	706	159
816	706	158
817	707	157
818	708	156
819	708	155
820	709	154
821	710	153
822	710	152
823	711	151
824	712	151
825	712	150
826	713	149
827	714	148
828	714	147
829	715	146
830	716	145
831	716	144
832	717	143
833	718	142
834	718	142
835	719	141
836	720	140
837	721	139
838	721	138
839	722	137
840	723	136
841	724	135
842	724	134
843	725	134
844	726	133
845	727	132
846	727	131
847	728	130
848	729	129
849	729	128
850	730	127
851	731	127
852	732	126
853	732	125
854	733	124
855	734	123
856	734	122
857	735	121
858	736	120
859	736	119
860	737	119
861	738	118
862	738	117
863	739	116
864	740	115
865	740	114
866	741	113
867	742	112
868	743	112
869	743	111
870	744	110
871	745	109
872	745	108
873	746	107
874	746	106
875	747	105
876	748	104
877	749	104
878	749	103
879	750	102
880	751	101
881	751	100
882	753	99
883	753	98
884	754	98
885	755	97
886	755	96
887	756	95
888	757	94
889	758	93
890	758	92
891	759	91
892	760	91
893	760	90
894	761	89
895	762	88
896	762	87
897	763	86
898	764	85
899	765	85
900	765	84
901	766	83
902	766	82
903	767	81
904	768	80
905	768	79
906	769	78
907	770	78
908	771	77
909	771	76
910	772	75
911	772	74
912	773	73
913	774	72
914	774	71
915	775	71
916	776	70
917	777	69
918	777	68
919	778	67
920	779	66
921	779	65
922	780	65
923	781	64
924	781	63
925	782	62
926	782	61
927	784	60
928	784	59
929	785	59
930	786	58
931	786	57
932	787	56
933	788	55
934	788	54
935	789	53
936	789	53
937	790	52
938	791	51
939	791	50
940	792	49
941	793	48
942	793	47
943	794	47
944	795	46
945	795	45
946	796	44
947	797	43
948	798	42
949	798	42
950	799	41
951	800	40
952	800	39
953	801	38
954	802	37
955	802	36
956	803	36
957	803	35
958	804	34
959	805	33
960	806	32
961	807	31
962	807	31
963	808	30
964	809	29
965	809	28
966	810	27
967	811	26
968	812	25
969	813	25
970	814	24
971	814	23
972	815	22
973	816	21
974	817	20
975	818	20
976	818	19
977	819	18
978	820	17
979	821	16
980	821	15
981	822	15
982	823	14
983	823	13
984	824	12
985	825	11
986	826	10
987	826	10
988	827	9
989	828	8
990	828	7
991	829	6
992	830	5
993	830	5
994	831	4
995	832	3
996	833	2
997	833	1
998	834	0
999	835	0
